2023-07-04 09:27:50 install libnettle8:amd64 <none> 3.8.1-2
2023-07-04 09:27:50 status half-installed libnettle8:amd64 3.8.1-2
2023-07-04 09:27:50 status unpacked libnettle8:amd64 3.8.1-2
2023-07-04 09:27:50 install libp11-kit0:amd64 <none> 0.24.1-2
2023-07-04 09:27:50 status half-installed libp11-kit0:amd64 0.24.1-2
2023-07-04 09:27:50 status unpacked libp11-kit0:amd64 0.24.1-2
2023-07-04 09:27:50 install libpam-modules:amd64 <none> 1.5.2-6
2023-07-04 09:27:50 status half-installed libpam-modules:amd64 1.5.2-6
2023-07-04 09:27:50 status unpacked libpam-modules:amd64 1.5.2-6
2023-07-04 09:27:50 install libpam-modules-bin:amd64 <none> 1.5.2-6
2023-07-04 09:27:50 status half-installed libpam-modules-bin:amd64 1.5.2-6
2023-07-04 09:27:50 status unpacked libpam-modules-bin:amd64 1.5.2-6
2023-07-04 09:27:50 install libpam-runtime:all <none> 1.5.2-6
2023-07-04 09:27:50 status half-installed libpam-runtime:all 1.5.2-6
2023-07-04 09:27:51 status unpacked libpam-runtime:all 1.5.2-6
2023-07-04 09:27:51 install libpam0g:amd64 <none> 1.5.2-6
2023-07-04 09:27:51 status half-installed libpam0g:amd64 1.5.2-6
2023-07-04 09:27:51 status unpacked libpam0g:amd64 1.5.2-6
2023-07-04 09:27:51 install libpcre2-8-0:amd64 <none> 10.42-1
2023-07-04 09:27:51 status half-installed libpcre2-8-0:amd64 10.42-1
2023-07-04 09:27:51 status unpacked libpcre2-8-0:amd64 10.42-1
2023-07-04 09:27:51 install libseccomp2:amd64 <none> 2.5.4-1+b3
2023-07-04 09:27:51 status half-installed libseccomp2:amd64 2.5.4-1+b3
2023-07-04 09:27:51 status unpacked libseccomp2:amd64 2.5.4-1+b3
2023-07-04 09:27:51 install libselinux1:amd64 <none> 3.4-1+b6
2023-07-04 09:27:51 status half-installed libselinux1:amd64 3.4-1+b6
2023-07-04 09:27:51 status unpacked libselinux1:amd64 3.4-1+b6
2023-07-04 09:27:51 install libsemanage-common:all <none> 3.4-1
2023-07-04 09:27:51 status half-installed libsemanage-common:all 3.4-1
2023-07-04 09:27:51 status unpacked libsemanage-common:all 3.4-1
2023-07-04 09:27:51 install libsemanage2:amd64 <none> 3.4-1+b5
2023-07-04 09:27:51 status half-installed libsemanage2:amd64 3.4-1+b5
